MagX:,MagY:,MagZ:,Mag:,is data good?,try it myself,is data good?,,,,,,,
-44,-645,-364,399.647,TRUE,741.9278941,TRUE,,,,,,,
-83,-641,-376,399.647,TRUE,747.7606569,TRUE,,,,,,,
-102,-647,-354,399.647,TRUE,744.5327394,TRUE,,,,,,,
-107,-632,-392,399.647,TRUE,751.3567728,TRUE,,,,,,,
-68,-619,-424,399.647,TRUE,753.3664447,TRUE,,,,,,,
-56,-575,-510,399.647,TRUE,770.6237733,TRUE,,,,,,,
-53,-549,-542,399.647,TRUE,773.287786,TRUE,,,,,,,
-114,-503,-590,399.647,TRUE,783.6485182,TRUE,,,,,,,
-324,-477,-605,399.647,TRUE,835.7810718,TRUE,,,,,,,
-353,-452,-511,399.647,TRUE,768.1367066,TRUE,,,,,,,
-368,-425,-504,399.647,TRUE,755.0264896,TRUE,,,,,,,
-386,-385,-510,399.647,TRUE,746.5393493,TRUE,,,,,,,
-451,-363,-504,399.647,TRUE,767.584523,TRUE,,,,,,,
-458,-324,-438,399.647,TRUE,711.7471461,TRUE,,,,,,,
-462,-316,-431,399.647,TRUE,706.4424959,TRUE,,,,,,,
-470,-326,-424,399.647,TRUE,712.005618,TRUE,,,,,,,
-477,-330,-414,399.647,TRUE,712.6184112,TRUE,,,,,,,
-479,-327,-403,399.647,TRUE,706.2428761,TRUE,,,,,,,
-472,-326,-399,399.647,TRUE,698.7567531,TRUE,,,,,,,
-458,-340,-405,399.647,TRUE,699.5634353,TRUE,,,,,,,
-462,-352,-419,399.647,TRUE,716.1766542,TRUE,,,,,,,
-455,-367,-403,399.647,TRUE,710.016197,TRUE,,,,,,,
-455,-392,-398,399.647,TRUE,720.4810893,TRUE,,,,,,,
-465,-386,-402,399.647,TRUE,725.8271144,TRUE,,,,,,,
-465,-377,-387,399.647,TRUE,712.8274686,TRUE,,,,,,,
-500,-381,-388,399.647,TRUE,738.7184849,TRUE,,,,,,,
-522,-345,-351,399.647,TRUE,717.4329237,TRUE,,,,,,,
-548,-330,-306,399.647,TRUE,709.1121209,TRUE,,,,,,,
-555,-286,-261,399.647,TRUE,676.7141198,TRUE,,,,,,,
-559,-265,-229,399.647,TRUE,659.6567289,TRUE,,,,,,,
-555,-206,-134,399.647,TRUE,606.9736403,TRUE,,,,,,,
-540,-163,-124,399.647,TRUE,577.5335488,TRUE,,,,,,,
-535,-120,-95,399.647,TRUE,556.4620382,TRUE,,,,,,,
-514,-97,-109,399.647,TRUE,534.3088994,TRUE,,,,,,,
-500,-47,-122,399.647,TRUE,516.8104101,TRUE,,,,,,,
-466,-26,-123,399.647,TRUE,482.6603361,TRUE,,,,,,,
-438,24,-121,399.647,TRUE,455.0395587,TRUE,,,,,,,
-417,56,-119,399.647,TRUE,437.2482133,TRUE,,,,,,,
-414,78,-120,399.647,TRUE,438.041094,TRUE,,,,,,,
-407,80,-120,399.647,TRUE,431.7974062,TRUE,,,,,,,
-412,85,-108,399.647,TRUE,434.3190072,TRUE,,,,,,,
-408,78,-112,399.647,TRUE,430.2231979,TRUE,,,,,,,
-398,80,-105,399.647,TRUE,419.3196871,TRUE,,,,,,,
-377,91,-111,399.647,TRUE,403.3993059,TRUE,,,,,,,
-385,108,-108,399.647,TRUE,414.1895701,TRUE,,,,,,,
-384,102,-118,399.647,TRUE,414.4683341,TRUE,,,,,,,
-385,105,-125,399.647,TRUE,418.180583,TRUE,,,,,,,
-388,109,-138,399.647,TRUE,425.991784,TRUE,,,,,,,
-415,102,-143,399.647,TRUE,450.6417646,TRUE,,,,,,,
-420,80,-170,399.647,TRUE,460.1086828,TRUE,,,,,,,
-418,75,-167,399.647,TRUE,456.3310202,TRUE,,,,,,,
-425,74,-160,399.647,TRUE,460.1097695,TRUE,,,,,,,
-439,67,-158,399.647,TRUE,471.3533706,TRUE,,,,,,,
-440,57,-150,399.647,TRUE,468.3470935,TRUE,,,,,,,
-453,55,-144,399.647,TRUE,478.5080982,TRUE,,,,,,,
-455,47,-153,399.647,TRUE,482.3307993,TRUE,,,,,,,
-457,44,-148,399.647,TRUE,482.3784821,TRUE,,,,,,,
-461,39,-146,399.647,TRUE,485.137094,TRUE,,,,,,,
-469,37,-146,399.647,TRUE,492.5911083,TRUE,,,,,,,
-471,29,-152,399.647,TRUE,495.7680909,TRUE,,,,,,,
-474,24,-150,399.647,TRUE,497.7469236,TRUE,,,,,,,
